TX,TY,TZ,FX_0,FY_0,FZ,flow_speed,vegetation_layout
0.0437525033,-0.2751464842,-0.0147719056,0.7881894959,0.0631896824,0.3532789658,0.2000000000,1000000000001000001000000000000000011
0.0819005750,-0.5503411282,-0.0231515745,1.6501400685,-0.0028744991,0.6819922155,0.3000000000,1000000000001000001000000000000000011
0.1540222168,-1.2023774482,-0.0860115938,2.4833815582,-0.2812643633,1.4734444271,0.4000000000,1000000000001000001000000000000000011
0.0779006349,-0.0393944827,-0.0128157809,0.2381303475,-0.2526657014,-0.3231156607,0.1000000000,0001000000000000001100000000100001000
0.2437053550,-0.0947095123,-0.0120034185,0.7673518851,0.0962431635,0.1045923114,0.2000000000,0001000000000000001100000000100001000
0.4733989332,-0.2162943552,-0.0257145916,1.5202622439,0.0909222155,0.0924623559,0.3000000000,0001000000000000001100000000100001000
0.7191822816,-0.4367091823,-0.0726944686,2.3916490654,-0.0281729946,0.3178292963,0.4000000000,0001000000000000001100000000100001000
0.0672100371,0.0255180123,-0.0226727655,0.2122986548,-0.1140786280,-0.1218183015,0.1000000000,0000000001000001001001000100000000000
0.2560251859,0.1909423071,-0.0163268923,0.9539092600,-0.0655412087,-0.0298764211,0.2000000000,0000000001000001001001000100000000000
0.5337863086,0.3916272156,-0.0339793672,1.9927130621,-0.1383142947,0.1120243004,0.3000000000,0000000001000001001001000100000000000
0.9695646827,0.6686576205,-0.0170962161,3.5780433946,-0.3086769434,0.1222459358,0.4000000000,0000000001000001001001000100000000000
-0.1231626887,0.1527858725,-0.0165039747,-0.0268076279,-0.2283891994,1.1214632409,0.1000000000,1100000000000000001000001000000000001
-0.0750258546,0.2310361442,0.0048171241,0.6798645761,0.0219633372,0.4429268663,0.2000000000,1100000000000000001000001000000000001
-0.0326405919,0.4078940624,0.0035225410,1.7109937673,0.0414338428,-0.1165185117,0.3000000000,1100000000000000001000001000000000001
-0.0740437788,0.6763692601,-0.0247966551,2.0836290637,0.1315315085,-0.6196582448,0.4000000000,1100000000000000001000001000000000001
-0.0994736869,0.0218923574,-0.0188761436,0.2113102159,-0.2652547930,0.4355836612,0.1000000000,0001000010000000011000000000000001000
-0.3230767006,0.1673840779,0.0062674228,0.9933010017,0.1305459073,0.8072508919,0.2000000000,0001000010000000011000000000000001000
-0.6944375843,0.3251443180,0.0204691671,2.3829005523,0.1291312238,1.0465323000,0.3000000000,0001000010000000011000000000000001000
-1.1370164864,0.4871770264,0.0295332163,3.8516554478,0.2521483713,0.7631750726,0.4000000000,0001000010000000011000000000000001000
-0.0646953964,-0.0755807294,-0.0207290037,0.1581955619,-0.3522986578,0.0351816887,0.1000000000,0000000000010001001001000001000000000
-0.2317624527,-0.0757295095,0.0028013160,0.7828543846,-0.0691538809,0.5756104616,0.2000000000,0000000000010001001001000001000000000
-0.4065997553,-0.1479491186,-0.0004872686,1.5827351316,-0.0410574752,0.6852082428,0.3000000000,0000000000010001001001000001000000000
-0.6027383070,-0.2976305958,-0.0382823463,2.5093035896,-0.1664608104,0.9499791006,0.4000000000,0000000000010001001001000001000000000
0.0596552379,-0.0493384097,0.1011697086,0.1678692415,-0.3830356375,-0.2022719452,0.1000000000,1001000000000000000000101000000000101
0.0196467076,-0.3674937059,0.0348810493,0.9597600830,-0.0880543964,0.2567303260,0.2000000000,1001000000000000000000101000000000101
0.0274742232,-0.7906980893,0.0777057958,2.1391451118,-0.1871626242,0.5289982633,0.3000000000,1001000000000000000000101000000000101
0.0530894890,-1.3234718536,0.1354987461,3.4015941695,-0.3705943200,0.9142897724,0.4000000000,1001000000000000000000101000000000101
0.0701386374,-0.0669519486,-0.0141245800,0.3118507511,-0.1367888111,-0.0755846521,0.1000000000,0001100000000000010001100000000001000
0.2723434105,-0.1693674396,0.0076345638,0.9575167140,-0.1107023582,-0.0407893976,0.2000000000,0001100000000000010001100000000001000
0.5490668862,-0.3517469312,0.0085390166,1.8624863397,-0.0667893922,0.3159801632,0.3000000000,0001100000000000010001100000000001000
0.7855098118,-0.7086513875,0.0243153420,2.9158114762,-0.5608949330,0.2929219346,0.4000000000,0001100000000000010001100000000001000
0.0797334537,0.0418118919,-0.0218575926,0.2965793839,-0.0464286541,-0.0507739419,0.1000000000,0010100000010001000001000000000000001
0.2762244560,0.1905462802,-0.0111418826,1.0198103288,-0.1088289948,0.0867917453,0.2000000000,0010100000010001000001000000000000001
